instance,structure,primal_source_inventory,dual_source_inventory,general_casebook_role,historical_primal,historical_dual,historical_conclusion,primal_category,primal_project_baseline,primal_project_result,historical_copt_dual,historical_project_dual,newer_dual_audit_bound,newer_dual_audit_evidence,newer_dual_audit_limits,general_rule,primal_transferable_rule,primal_limitation,source_url,snapshot_commit
ns2122698,Selection cores and local coupling,True,True,not_explicitly_mapped_here,"68,750 (strict repair)","62,785.565316 (strict)",Exact primal/dual interval; global optimum open,not_in_project_primal_table,,,,,,,,,Recover cost/resource blocks from row incidence and run short pilots on structural neighborhoods; do not infer unknown semantics from names.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ns2122698/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
pb-gfrd-pnc,Repeated columns and type counts,True,True,not_explicitly_mapped_here,"8,844 (strict)","8,566 (solver)","Exact identical-column quotient removes 9,944 variables; 3.1434% numerical gap; global optimum open",not_in_project_primal_table,,,,,,,,,"After validating complete column signatures, search over multiplicities; implement the lift explicitly and check all side rows.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/pb-gfrd-pnc/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
pb-grow22,Repeated columns and type counts,True,True,not_explicitly_mapped_here,-449536,-449546 (solver),Exact symmetry quotient; numerical 10-unit interval without portable cutoff proof; global optimum open,not_in_project_primal_table,,,,,,,,,"After validating complete column signatures, search over multiplicities; implement the lift explicitly and check all side rows.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/pb-grow22/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
polygonpack4-15,"Layout, packing, and geometric relations",True,True,not_explicitly_mapped_here,"-63,613,612.411253203798895776945039... (strict repair)",no new global lower bound,"Exact recovered geometry, radius/object neighborhoods and mask screening; no MIPLIB headline improvement; global optimum open",not_in_project_primal_table,,,,,,,,,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/polygonpack4-15/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
polygonpack4-7,"Layout, packing, and geometric relations",True,True,not_explicitly_mapped_here,"-51,837,707.95034043267785954996 (strict repair)",no new global lower bound,Full submitted-MPS geometry audit; no strict incumbent improvement; global optimum open,not_in_project_primal_table,,,,,,,,,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/polygonpack4-7/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
polygonpack5-15,"Layout, packing, and geometric relations",True,True,not_explicitly_mapped_here,"-55,494,687.647606651289167114364938... (strict repair)",no new global lower bound,Improves the only audited official literal-zero solution but not the MIPLIB tolerance headline; global optimum open,not_in_project_primal_table,,,,,,,,,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/polygonpack5-15/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
pythago7825,Finite-domain feasibility and covering repair,True,True,not_explicitly_mapped_here,—,published UNSAT theorem,"Infeasible, exact encoding/core crosswalk + published theorem; proof archive not replayed locally",not_in_project_primal_table,,,,,,,,,Preserve hard quotas or bounds and construct repairs from unsatisfied constraints; retain only a near-feasible label until every constraint is satisfied.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/pythago7825/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
ramos3,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,186,156 (covering-code bound),Feasible; strict local optimality proved to bit radius 7; global optimum open,not_in_project_primal_table,,,146.482178,156,156,Local exact combinatorial proof plus exhaustive finite checking,"The exact global lower bound 156 passed the audit. It is not extrapolated directly from a local exclusion, and optimality at 156 is not claimed.",,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/ramos3/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine11,Mining precedence and interperiod capacity,True,True,named_case_or_family_expansion,-2508.404143999999991662 (strict),-2521.353274311517894 (portable exact),"394 pair, 70 clique and 5 genuine triple-cover cuts plus flow=cut certificate; global optimum open",not_in_project_primal_table,,,,,,,,"Closed/path core with few resources; min-cut/DP, Lagrangian day with valid certificate",Use mining times as the state and jointly release consecutive periods and the precedence closure; explicitly record restrictions used when updating the final pit.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine11/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine13,Mining precedence and interperiod capacity,True,True,named_case_or_family_expansion,-3495.3706609999999806509 (strict repair),-3504.689959073912780 (portable exact),Rounded public tolerance vector and closure flow=cut certificate; structured neighborhoods tested; global optimum open,not_in_project_primal_table,,,,,,,,"Closed/path core with few resources; min-cut/DP, Lagrangian day with valid certificate",Use mining times as the state and jointly release consecutive periods and the precedence closure; explicitly record restrictions used when updating the final pit.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine13/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine15,Mining precedence and interperiod capacity,True,True,named_case_or_family_expansion,-5018.823005000000004879 (new strict incumbent),-5042.036233392018593 (portable exact),34-block exchange; 121 pair and 61 clique cuts; exact primal and flow=cut audits; global optimum open,numeric_improvement,-5018.819990999996,-5018.823005000000004879,,,,,,"Closed/path core with few resources; min-cut/DP, Lagrangian day with valid certificate",Use mining times as the state and jointly release consecutive periods and the precedence closure; explicitly record restrictions used when updating the final pit.,"Across periods [7,9], 34 mining blocks and 35 bits changed jointly; the three-period closure around the new point applies only with the variables outside the window and the final pit fixed.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine15/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine21,Mining precedence and interperiod capacity,True,True,named_case_or_family_expansion,-10618.7507269999999491342 (strict repair),-10679.232567260660741 (portable exact),"Exact 1,441,651-row primal replay and closure flow=cut certificate; global optimum open",not_in_project_primal_table,,,,,,,,"Closed/path core with few resources; min-cut/DP, Lagrangian day with valid certificate",Use mining times as the state and jointly release consecutive periods and the precedence closure; explicitly record restrictions used when updating the final pit.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine21/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
rmine25,Mining precedence and interperiod capacity,True,True,named_case_or_family_expansion,-15541.66927699999998289011 (strict repair),-15667.918862520611901 (portable exact),"Exact 2,953,849-row primal replay and cross-host closure certificate verification; global optimum open",not_in_project_primal_table,,,,,,,,"Closed/path core with few resources; min-cut/DP, Lagrangian day with valid certificate",Use mining times as the state and jointly release consecutive periods and the precedence closure; explicitly record restrictions used when updating the final pit.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/rmine25/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
s82,Time selection and scheduling,True,True,not_explicitly_mapped_here,-33.7970576238223 (strict public point),exact structural bound max sum(A8)=36,Full objective open; high-level acceptance count globally optimal and line 4 conditionally optimal,not_in_project_primal_table,,,,,,,,,"Search only over selected jobs, their order, and resource assignments; try matching or CP while retaining the full deadline semantics.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/s82/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
scpj4scip,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,128,107 (strict),Exact branch/dual certificates improved the lower bound; global optimum open; experiments paused,not_in_project_primal_table,,,,,,,,,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/scpj4scip/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
scpk4,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,318,283 (strict),Exact domination and independently replayed target-282 branch/dual certificate; global optimum open,not_in_project_primal_table,,,,,,,,,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/scpk4/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
scpl4,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,259,214 (portable strict),Complete target-213 exact branch/dual replay; COPT terminal exclusion corroborates; global optimum open,not_in_project_primal_table,,,,,,,,,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/scpl4/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
set3-09,Multiperiod production and inventory recourse,True,True,not_explicitly_mapped_here,176497.152425682499961401493852... (strict repair),no new certified global bound,BOM-aware Decimal reconstruction and period/item/Hamming neighborhoods; global optimum open,not_in_project_primal_table,,,,,,,,,"Jointly release BOM- and equipment-related items and multi-period setups; after fixing the integers, recompute the inventory and demand rows.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/set3-09/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
shs1042,Inventory routing and cargo-vehicle coupling,True,True,not_explicitly_mapped_here,"11,070.7016616034 (strict repair)","10,905.7397762548 (solver)",1.4901% local reproducible gap; article partition and truck-radius-2 neighborhoods closed; global optimum open,not_in_project_primal_table,,,,,,,,,"Jointly change trips, loads, and multi-period inventory; use historical routes only as candidates and recomplete them.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/shs1042/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
siena1,Selection cores and local coupling,True,True,not_explicitly_mapped_here,"10,449,008.9 (verified @ 1e-9)","10,219,502.195349596",Feasible; structure-specific decomposition attempts tested; global optimum open,not_in_project_primal_table,,,10214130.1,10219502.195349596,10219502.195349596,Traceable original MPS and runner plus historical global numerical solver evidence,"Accepted under a standard permitting reasonable global numerical solver results. Not all internal cuts or the branch tree were independently checked, and no commercial numerical rerun was performed. API decimals are numerical records, not digit-by-digit exact certificates. Improvement over the old COPT PDF cannot be attributed to a specific parameter and is not proof of a same-budget performance advantage.",,Recover cost/resource blocks from row incidence and run short pilots on structural neighborhoods; do not infer unknown semantics from names.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/siena1/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
sing11,Unit commitment with demand and reserve coupling,True,True,named_case_or_family_expansion,"19,108,639.4603941927675439822 (strict repair)","18,853,382.0323116 (solver; 1.3358% gap)","1,200 s root-cut LB improves archived PDF-only LB by about 76,817.9; 74/74 blocks and 6 selected groups closed conditionally; global optimum open",not_in_project_primal_table,,,18776564.1,18853382.0323116,18853382.0323116,Original MPS plus historical global numerical solver evidence at the root node,Accepted under the numerical solver standard; optimality is not claimed. The Gurobi 13.0.2 root LP solve was not replayed. Neither the root-cut count nor an old multiplier file is presented as a complete exact dual certificate.,Local block ease of solution does not mean global integration has disappeared; change structure scale after closing small neighborhoods,Use LP fractionality and incumbent differences to jointly release multiple units and time periods; avoid repeated single-unit scans.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/sing11/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
sing17,Unit commitment with demand and reserve coupling,True,True,named_case_or_family_expansion,"36,161,699.3779386893546367410 (strict numerical polish)","35,556,219.47983733 (locally reproducible solver LB; 1.6744% gap)","Same integer pattern and only 0.000893823 lower; 50/50 blocks closed conditionally; archived PDF-only LB 35,599,182.4 is stronger; global optimum open",numerical_polish,36161699.37883251,36161699.3779386893546367410,,,,,,Local block ease of solution does not mean global integration has disappeared; change structure scale after closing small neighborhoods,Use LP fractionality and incumbent differences to jointly release multiple units and time periods; avoid repeated single-unit scans.,The integer signature is unchanged and the relative polishing is about 2.47e-11; this should not be recorded as a new discrete design.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/sing17/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
sing5,Unit commitment with demand and reserve coupling,True,True,named_case_or_family_expansion,"18,778,435.60767737 (strict)","18,462,676.77864 (locally reproducible solver LB; 1.6815% gap)","Imported run improves the prior local LB by 19,778.272826703; archived PDF-only LB 18,605,207.3 remains stronger; runtime metadata is inconsistent; global optimum open",not_in_project_primal_table,,,,,,,,Local block ease of solution does not mean global integration has disappeared; change structure scale after closing small neighborhoods,Use LP fractionality and incumbent differences to jointly release multiple units and time periods; avoid repeated single-unit scans.,The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/sing5/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
sorrell7,Conflict graphs and code constructions,True,True,not_explicitly_mapped_here,-198 (code size 198),-210 published; -216 study solver,Feasible; any improvement must change at least 27 bits; global optimum open,not_in_project_primal_table,,,-223.02692,-210,-210,Local exact combinatorial proof plus checking against the complete model,The exact global lower bound -210 passed the audit. Neither a feasible set of 210 strings nor closure of the original optimum is claimed.,,"Beyond the excluded small exchanges, use ejection chains or large-support replacements while maintaining conflict feasibility.","Any larger independent set must remove at least 13 old vertices and add 14, changing at least 27 bits; do not repeat small exchanges.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/sorrell7/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
supportcase30,Finite-domain feasibility and covering repair,True,True,not_explicitly_mapped_here,"no feasible point; best partial 987/1,024",37 covering rows remain,Global feasibility open,not_in_project_primal_table,,,,,,,,,Preserve hard quotas or bounds and construct repairs from unsatisfied constraints; retain only a near-feasible label until every constraint is satisfied.,Coverage of 987/1024 is only partial; the remaining 37 rows are unsatisfied.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/supportcase30/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
supportcase39,Gaussian-projection pixel control,True,True,not_explicitly_mapped_here,"-1,085,083.856820570460","-1,085,325.230699 root",New strict incumbent from Gaussian-boundary block search; global optimum open,numeric_improvement,-1085080.906934894,-1085083.856820570460,,,,,,,"Center the search on unsaturated boundary controls, expand the geometric window incrementally, and evaluate each increment exactly.","Single-point moves, 4220 two-point candidates, and windows of size 5/7/9 gave no improvement; 11×11 succeeded. A 13×13 timeout does not mean infeasibility.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/supportcase39/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
t1722,Support exchanges for covering and partitioning,True,True,not_explicitly_mapped_here,"108,953 (strict)",no new bound,Exact connected exchanges through five blocks and association-guided repair completed; global optimum open,not_in_project_primal_table,,,,,,,,,"After deduplication and dominance reduction, make multi-remove/multi-add moves around private-row/owner conflicts; lift the result back to the original columns.","All connected exchanges of size at most 5 were excluded. Another 84 repairs over 6-12 blocks gave no improvement, but they did not cover every large neighborhood.",https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/t1722/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
tokyometro,"Layout, packing, and geometric relations",True,True,not_explicitly_mapped_here,"8,263.1 (strict)","7,117.5 (solver)",Translation and impossible-direction audit; 13.864% numerical gap; global optimum open,not_in_project_primal_table,,,,,,,,,"Search over objects, orientations, and relative orders rather than auxiliary bits; move critical paths jointly and back-substitute every geometric row.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/tokyometro/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
xmas10-2,"Network, matching, and discrete cores",True,True,not_explicitly_mapped_here,-497 (497 cells),511 cells official; 515 study solver,Best known path reproduced; extensive cell-projection/LNS search; global optimum open,not_in_project_primal_table,,,,,,,,,"Eliminate constructible auxiliary variables while preserving conservation, parity, and connectivity conditions; generate a complete witness from a small core.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/xmas10-2/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
z26,Conflict graphs and code constructions,True,True,not_explicitly_mapped_here,"-1,198","-1,646 (strict)",Exact MPS-to-MIS interval; global optimum open,not_in_project_primal_table,,,,,,,,,"Beyond the excluded small exchanges, use ejection chains or large-support replacements while maintaining conflict feasibility.",The neighborhood and reconstruction suggestions are structure-based research routes; they do not represent validated speedups.,https://github.com/Huangyc98/MIPLIB_openproblem/blob/b329d3812c5acf51733e0e9f7baabdda7b1008d2/instances/z26/README.md,b329d3812c5acf51733e0e9f7baabdda7b1008d2
